# 1:x(m)  2:rho(kg/m**3) 3:p(Pa) 4:T(K) 5:V(m/s)
0 1 100000 348.307 0
0.275501 1 100000 348.307 0
0.276842 0.995017 99303 347.611 1.86268
0.278192 0.990024 98606.1 346.913 3.73656
0.27955 0.98502 97909.1 346.21 5.62179
0.280917 0.980007 97212.2 345.504 7.51851
0.282291 0.974983 96515.2 344.795 9.42689
0.283675 0.969949 95818.3 344.082 11.3471
0.285066 0.964904 95121.3 343.365 13.2792
0.286467 0.959849 94424.4 342.644 15.2235
0.287877 0.954783 93727.4 341.919 17.1801
0.289295 0.949707 93030.5 341.191 19.1491
0.290723 0.944619 92333.5 340.459 21.1308
0.292159 0.939521 91636.6 339.723 23.1252
0.293606 0.934411 90939.6 338.982 25.1327
0.295061 0.92929 90242.7 338.238 27.1534
0.296527 0.924158 89545.7 337.49 29.1874
0.298002 0.919015 88848.8 336.737 31.235
0.299487 0.91386 88151.8 335.98 33.2963
0.300982 0.908693 87454.9 335.219 35.3717
0.302487 0.903514 86757.9 334.454 37.4611
0.304003 0.898324 86061 333.684 39.565
0.305529 0.893122 85364 332.909 41.6834
0.307066 0.887907 84667.1 332.131 43.8167
0.308613 0.88268 83970.1 331.347 45.965
0.310172 0.877441 83273.2 330.559 48.1286
0.311742 0.872189 82576.2 329.766 50.3077
0.313323 0.866925 81879.3 328.969 52.5026
0.314916 0.861647 81182.3 328.166 54.7134
0.316521 0.856357 80485.4 327.359 56.9405
0.318137 0.851054 79788.4 326.546 59.1842
0.319765 0.845737 79091.5 325.729 61.4446
0.321406 0.840407 78394.5 324.906 63.7221
0.32306 0.835064 77697.6 324.078 66.0169
0.324726 0.829706 77000.6 323.245 68.3294
0.326405 0.824335 76303.7 322.406 70.6598
0.328097 0.81895 75606.7 321.562 73.0084
0.329802 0.813551 74909.7 320.712 75.3756
0.331521 0.808137 74212.8 319.857 77.7616
0.333254 0.802708 73515.8 318.996 80.1668
0.335001 0.797265 72818.9 318.129 82.5916
0.336763 0.791807 72121.9 317.256 85.0362
0.338539 0.786334 71425 316.377 87.5011
0.340329 0.780846 70728 315.492 89.9866
0.342135 0.775342 70031.1 314.6 92.493
0.343957 0.769823 69334.1 313.703 95.0209
0.345794 0.764288 68637.2 312.798 97.5705
0.347647 0.758736 67940.2 311.888 100.142
0.349516 0.753168 67243.3 310.97 102.737
0.351402 0.747584 66546.3 310.046 105.354
0.353305 0.741983 65849.4 309.115 107.995
0.355225 0.736365 65152.4 308.176 110.66
0.357163 0.73073 64455.5 307.231 113.349
0.359118 0.725078 63758.5 306.278 116.063
0.361092 0.719407 63061.6 305.318 118.803
0.363085 0.713719 62364.6 304.35 121.568
0.365097 0.708013 61667.7 303.374 124.36
0.367128 0.702288 60970.7 302.39 127.179
0.369179 0.696544 60273.8 301.399 130.025
0.371251 0.690782 59576.8 300.399 132.9
0.373343 0.685 58879.9 299.391 135.804
0.375457 0.679199 58182.9 298.374 138.737
0.377592 0.673377 57486 297.348 141.7
0.37975 0.667536 56789 296.314 144.694
0.38193 0.661674 56092.1 295.27 147.719
0.384133 0.655791 55395.1 294.217 150.776
0.38636 0.649887 54698.2 293.155 153.867
0.388612 0.643961 54001.2 292.083 156.991
0.390888 0.638014 53304.3 291.001 160.15
0.39319 0.632044 52607.3 289.908 163.344
0.395518 0.626051 51910.4 288.806 166.574
0.397873 0.620036 51213.4 287.693 169.842
0.400255 0.613997 50516.5 286.568 173.147
0.402666 0.607934 49819.5 285.433 176.492
0.405105 0.601847 49122.5 284.287 179.876
0.407574 0.595736 48425.6 283.128 183.302
0.410073 0.589599 47728.6 281.958 186.77
0.412604 0.583436 47031.7 280.776 190.281
0.415167 0.577247 46334.7 279.58 193.837
0.417763 0.571032 45637.8 278.372 197.439
0.420393 0.564789 44940.8 277.151 201.088
0.423058 0.558519 44243.9 275.916 204.785
0.425759 0.552221 43546.9 274.667 208.532
0.428497 0.545893 42850 273.404 212.33
0.431273 0.539536 42153 272.126 216.182
0.434089 0.533149 41456.1 270.833 220.087
0.436945 0.526731 40759.1 269.524 224.049
0.439843 0.520282 40062.2 268.199 228.07
0.442784 0.513801 39365.2 266.858 232.149
0.44577 0.507287 38668.3 265.499 236.291
0.448802 0.500739 37971.3 264.123 240.497
0.451882 0.494157 37274.4 262.729 244.769
0.455011 0.487539 36577.4 261.316 249.109
0.458191 0.480885 35880.5 259.883 253.52
0.461425 0.474195 35183.5 258.431 258.004
0.464713 0.467466 34486.6 256.958 262.564
0.468058 0.460698 33789.6 255.463 267.203
0.471462 0.453891 33092.7 253.947 271.924
0.474928 0.447042 32395.7 252.407 276.73
0.478457 0.440151 31698.8 250.843 281.625
0.482053 0.433217 31001.8 249.255 286.612
0.485719 0.426237 30304.9 247.641 291.695
0.486708 0.426237 30304.9 247.641 293.343
0.676006 0.426237 30304.9 247.641 293.343
0.675924 0.26553 30304.9 397.522 293.206
0.832406 0.26553 30304.9 397.522 293.206
0.832406 0.125 10000 278.645 0
1 0.125 10000 278.645 0
